date,Rolling prior probability,Rolling prior probability [sigmoid],Logistic [balanced],Logistic [balanced] [sigmoid],Logistic oriented [balanced],Logistic oriented [balanced] [sigmoid],Penalized logistic [balanced],Penalized logistic [balanced] [sigmoid],Gradient boosting [balanced],Gradient boosting [balanced] [sigmoid],Choquistic 1-additive [balanced],Choquistic 1-additive [balanced] [sigmoid],Choquistic 2-additive [balanced],Choquistic 2-additive [balanced] [sigmoid],Logistic [unweighted],Logistic [unweighted] [sigmoid],Logistic oriented [unweighted],Logistic oriented [unweighted] [sigmoid],Penalized logistic [unweighted],Penalized logistic [unweighted] [sigmoid],Gradient boosting [unweighted],Gradient boosting [unweighted] [sigmoid],Choquistic 1-additive [unweighted],Choquistic 1-additive [unweighted] [sigmoid],Choquistic 2-additive [unweighted],Choquistic 2-additive [unweighted] [sigmoid]
2020-03-19,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-20,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-23,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-24,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-25,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-26,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-27,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-30,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-03-31,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-01,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-02,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-03,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-06,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-07,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-08,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-09,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-13,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-14,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-15,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-16,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-17,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-20,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-21,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-22,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-23,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-24,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-27,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-28,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-29,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-04-30,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
2020-05-01,0.01,0.01,0.00021148614424030445,0.048376131313464965,0.00021148614424030445,0.048376131313464965,0.0003267446292276494,0.04838203176250742,0.0026570911399073083,0.04755024430256599,0.031011736809122142,0.07014526775368743,0.008371044545751705,0.04873898886732816,1.2671157992695542e-06,0.04827660106322006,1.2671157992695542e-06,0.04827660106322006,3.518487940792282e-05,0.048327675505687555,0.0012493809594035638,0.04590157481859518,0.002433839025629587,0.05421210283722754,0.0022300757310832167,0.04912344249476579
