date,Rolling prior probability,Rolling prior probability [sigmoid],Logistic [balanced],Logistic [balanced] [sigmoid],Logistic oriented [balanced],Logistic oriented [balanced] [sigmoid],Penalized logistic [balanced],Penalized logistic [balanced] [sigmoid],Explicit interactions [balanced],Explicit interactions [balanced] [sigmoid],RBF SVM [balanced],RBF SVM [balanced] [sigmoid],Random forest [balanced],Random forest [balanced] [sigmoid],Gradient boosting [balanced],Gradient boosting [balanced] [sigmoid],Choquistic 1-additive [balanced],Choquistic 1-additive [balanced] [sigmoid],Choquistic 2-additive [balanced],Choquistic 2-additive [balanced] [sigmoid],MLP [balanced],MLP [balanced] [sigmoid],Fuzzy Choquet neural network [balanced],Fuzzy Choquet neural network [balanced] [sigmoid],Logistic [unweighted],Logistic [unweighted] [sigmoid],Logistic oriented [unweighted],Logistic oriented [unweighted] [sigmoid],Penalized logistic [unweighted],Penalized logistic [unweighted] [sigmoid],Explicit interactions [unweighted],Explicit interactions [unweighted] [sigmoid],RBF SVM [unweighted],RBF SVM [unweighted] [sigmoid],Random forest [unweighted],Random forest [unweighted] [sigmoid],Gradient boosting [unweighted],Gradient boosting [unweighted] [sigmoid],Choquistic 1-additive [unweighted],Choquistic 1-additive [unweighted] [sigmoid],Choquistic 2-additive [unweighted],Choquistic 2-additive [unweighted] [sigmoid],MLP [unweighted],MLP [unweighted] [sigmoid],Fuzzy Choquet neural network [unweighted],Fuzzy Choquet neural network [unweighted] [sigmoid],Choquistic model aggregator [balanced],Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator [unweighted],Choquistic model aggregator [unweighted] [sigmoid]
2020-02-11,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-12,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-13,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-14,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-18,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-19,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-20,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-21,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-24,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-25,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-26,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-27,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-02-28,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-03-02,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-03-03,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-03-04,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-03-05,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
2020-03-06,0.01,0.01,0.6176747431539167,0.06589341587055905,0.6176747431539167,0.06589341587055905,0.5602688572906173,0.06625711691211242,0.053194672942215665,0.06842970954059359,0.048213119361882266,0.06712048976817803,0.29652387531469887,0.06893830803932352,0.21139015867135313,0.07801159033428151,0.3263094943873066,0.07094433891789598,0.024226306254704708,0.07528872391403342,4.497098135571695e-14,0.07414998810546596,0.0912301296540382,0.07931249224742416,0.07236671457601766,0.10347193921984997,0.07236671457601766,0.10347193921984997,0.0681393853885471,0.10379991808214463,0.004316578540526887,0.07018837492256218,0.0605263698352437,0.060957617250796424,0.14509136512996826,0.06229250017196671,0.03829827401175705,0.06331468978093774,0.031791426412113785,0.07944968351022393,0.0023692268620793115,0.0741385475374525,0.01,0.06822628836744996,0.0976214338279831,0.07695291326383674,0.22778571396397787,0.06893830798066491,0.06098780183807686,0.08734356792150734
